KEY,SCHEMA,TABLE_NAME,TYPE,AUDIT_FOR_PI,BCTS_DEV_ROLE,BCTS_STAGE_ANALYST_ROLE,BCTS_STAGE_ANALYST_PI_ROLE,BCTS_ANALYST_ROLE,BCTS_ANALYST_PI_ROLE
306,LRM_REPLICATION,V_ROAD_ON_BLOCK,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
307,LRM_REPLICATION,V_ROAD_OP_AREA,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
308,LRM_REPLICATION,V_ROAD_ORGANIC_MAT,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
309,LRM_REPLICATION,V_ROAD_PERMIT,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
310,LRM_REPLICATION,V_ROAD_PROV_FOREST,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
311,LRM_REPLICATION,V_ROAD_RADIO,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
312,LRM_REPLICATION,V_ROAD_RISK,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
313,LRM_REPLICATION,V_ROAD_SECTION,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
314,LRM_REPLICATION,V_ROAD_SPATIAL_META,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
315,LRM_REPLICATION,V_ROAD_STATUS,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
316,LRM_REPLICATION,V_ROAD_STEWARD,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
317,LRM_REPLICATION,V_ROAD_STRUCTURE,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
318,LRM_REPLICATION,V_ROAD_STRUCTURE_ATTR,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
319,LRM_REPLICATION,V_ROAD_STRUCTURE_CULVERT,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
320,LRM_REPLICATION,V_ROAD_STRUCTURE_INSPECTION,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
321,LRM_REPLICATION,V_ROAD_STRUCTURE_MAINTENANCE,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
322,LRM_REPLICATION,V_ROAD_USE_PERMIT,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
323,LRM_REPLICATION,V_SALE_FORECAST_TKA_TEMP,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
324,LRM_REPLICATION,V_SILVICULTURAL_SYSTEM,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
325,LRM_REPLICATION,V_SILVICULTURE_ACTIVITY,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
326,LRM_REPLICATION,V_SILVICULTURE_ACTIVITY_TEST1,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
327,LRM_REPLICATION,V_SILVICULTURE_AMENDMENT,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
328,LRM_REPLICATION,V_SILVICULTURE_OVERLAY_XREF,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
329,LRM_REPLICATION,V_SILVICULTURE_PRESCRIPTION,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
330,LRM_REPLICATION,V_SILVICULTURE_STOCKING_STATUS,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
331,LRM_REPLICATION,V_SILVICULTURE_STRATUM_HISTORY,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
332,LRM_REPLICATION,V_SILV_PROJECT,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
333,LRM_REPLICATION,V_SILV_PROJECT_BLOCK,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
334,LRM_REPLICATION,V_SILV_STOCKSTAT_HISTORY,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
335,LRM_REPLICATION,V_SPECIES_COMPOSITION,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
336,LRM_REPLICATION,V_SPECIES_COMPOSITION_HIST,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
337,LRM_REPLICATION,V_STOCKING_STANDARD,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
338,LRM_REPLICATION,V_STRATUM_STATUS,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
339,LRM_REPLICATION,V_SU,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
340,LRM_REPLICATION,V_SU_ECO_ALLOCATION,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
341,LRM_REPLICATION,V_SU_LAYER,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
342,LRM_REPLICATION,V_SU_STRATUM_ALLOCATION,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
343,LRM_REPLICATION,V_THIRD_PARTY_INTEREST,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
344,LRM_REPLICATION,V_TIMBER_INVENTORY_DIP,BASE TABLE,No PI,Read,Deny,Deny,Deny,Deny
